0	﻿مقام	﻿مقام	﻿مقام	﻿مقام	O	_
1	معظم	معظم	معظم	معظم	A0	صفت	
2	رهبری	رهبری|رهبر|ره|ره	رهبر	رهبری|رهبر + ی|ره + بر + ی|ره + بر + ی	N1|N1+O|V1+O+O|N1+O+O	اسم|اسم + ی|بن مضارع + بر + ی|اسم + بر + ی	
3	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
4	دیدار	دیدار|دید	دیدار	دیدار|دید + ار	N1|O+O	اسم|ریشه ماضی + ار	
5	رئیس	رییس	رئیس	رییس	N1	اسم	
6	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
7	مسئولان	مسئول	مسئول	مسئول	O	_
8	سازمان	سازمان|ساز|ساز	سازمان	سازمان|ساز + مان|ساز + مان	N1+O|V+O|N1+O	اسم+واجی ریشه: sAzmAn|فعل مضارع ساده+سوم شخص مفرد|اسم + ضمیر ملکی اول شخص جمع	
9	پدافند	پدافند	پدافند	پدافند	N1	اسم	
10	غیرعامل	عامل	غیرعامل	غیر + عامل	O+N1	غیر + اسم	
11	اظهار	اظهار	اظهار	اظهار	N1	اسم	
12	داشتند	داشت|داشت|داشت	داشت	داشت + ند|داشت + ند|داشت + ند	V+O|V5+V|N1+V	فعل ماضی ساده+سوم شخص جمع|فعل کمکی + فعل سوم شخص جمع|اسم + فعل سوم شخص جمع	
13	:	:	:	:	Si	علامت	
14	پدافند	پدافند	پدافند	پدافند	N1	اسم	
15	غیرعامل	عامل	غیرعامل	غیر + عامل	O+N1	غیر + اسم	
16	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
17	مقابل	مقابل|مقابل	مقابل	مقابل|مقابل	A0|N9	صفت|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی	
18	تهاجم	تهاجم	تهاجم	تهاجم	N1	اسم	
19	دشمنان	دشمن	دشمن	دشمن + ان	A0+O	صفت + ان	
20	علمی	علمی|علم	علم	علمی|علم + ی	A0|N1+O	صفت|اسم + ی	
21	،	،	،	،	Si	علامت	
22	جدی	جدی|جد	جدی	جدی|جد + ی	A0|N1+O	صفت|اسم + ی	
23	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
24	همه‌جانبه	همه‌جانبه	همه‌جانبه	همه‌جانبه	A0	صفت	
25	باشد	باش|اشد	بود	باش + د|ب + اشد	V+O|O+A0	فعل مضارع ساده+سوم شخص مفرد|ب + صفت	
26	.	.	.	.	Si	علامت	

0	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
1	گزارش	گزارش|گزارش|گزار	گزارش	گزارش|گزارش|گزار + ش	N1|N9|V+O	اسم|اسم موجود در ساختمان حرف اضافه و حرف ربط گروهی|فعل مضارع ساده+سوم شخص مفرد	
2	پایگاه	پایگاه|پای|پا|پا	پایگاه	پایگاه|پای + گاه|پا + ی + گاه|پا + ی + گاه	N1|N1+O|V1+O|N1+O	اسم|اسم + گاه|بن مضارع + گاه|اسم + گاه	
