0	می‌اندیشم	اندیش|می|می|می|می	اندیشید	می + اندیش + م|می + اند + ی + ش + م|می + اند + ی + ش + م|می + اند + ی + ش + م|می + اند + ی + ش + م	V+O|N1+V+O+O+O|N1+V+O+O+V|N1+V+O+O+O|N1+V+O+O+V	فعل حال اخباری+اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + ضمیر ملکی اول شخص مفرد|اسم + فعل سوم شخص جمع + ی + ضمیر ملکی سوم شخص مفرد + فعل اول شخص مفرد	
1	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
2	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
3	لطایف‌حیل	لطایف حیل	لطایف‌حیل	لطایف حیل	O	_
4	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
5	بدایع	بدایع	بدایع	بدایع	N1	اسم	
6	تمویهات	تمویهات	تمویهات	تمویهات	O	_
7	گرد	گرد|گرد|گرد|گرد|گر	گرد	گرد|گرد|گرد|گرد|گر + د	V|A0|N1|A0|V+O	فعل امر مثبت|صفت|اسم|صفت|فعل مضارع ساده+سوم شخص مفرد	
8	این	این|این	این	این|این	A1|N6	صفت اشاره|ضمیر اشاره	
9	غرض	غرض	غرض	غرض	N1	اسم	
10	درآیم	درا|در|در|در|در|در|در|در|در	درآیم	درا + ی + م|در + ا + ی + م|در + ا + ی + م|در + ا + ی + م|در + ا + ی + م|در + ا + ی + م|در + ا + ی + م|در + ا + ی + م|در + ا + ی + م	V+O|O+O+O+O|O+O+O+V|N1+O+O+O|N1+O+O+V|N1+O+O+O|N1+O+O+V|VPr+O+O+O|VPr+O+O+V	فعل مضارع ساده+اول شخص مفرد|ریشه مضارع + ا + ی + ضمیر ملکی اول شخص مفرد|ریشه مضارع + ا + ی + فعل اول شخص مفرد|اسم + ا + ی + ضمیر ملکی اول شخص مفرد|اسم + ا + ی + فعل اول شخص مفرد|اسم + ا + ی + ضمیر ملکی اول شخص مفرد|اسم + ا + ی + فعل اول شخص مفرد|پیشوند فعل + ا + ی + ضمیر ملکی اول شخص مفرد|پیشوند فعل + ا + ی + فعل اول شخص مفرد	
11	و	و|و|و	و	و|و|و	C0|Al|Ab	حرف ربط|حروف الفبا|اختصارات	
12	به	به|به	به	به|به	Pr|N1	حرف اضافه|اسم	
13	هر	هر	هر	هر	A1	صفت اشاره	
14	وجه	وجه|وج	وجه	وجه|وج + ه	N1|N1+O	اسم|اسم + ه	
15	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
16	ممکن	ممکن	ممکن	ممکن	A0	صفت	
17	گردد	گرد	گشت	گرد + د	V+O	فعل مضارع ساده+سوم شخص مفرد	
18	بکوشم	کوش|کوش|کوش	کوشید	ب + کوش + م|ب + کوش + م|ب + کوش + م	V+O|O+N1+O|O+N1+V	فعل حال التزامی+اول شخص مفرد|ب + اسم + ضمیر ملکی اول شخص مفرد|ب + اسم + فعل اول شخص مفرد	
19	تا	تا|تا|تا	تا	تا|تا|تا	Pr|C0|Ab	حرف اضافه|حرف ربط|اختصارات	
