0	وی	وی|وی	وی	وی|وی	N5|Ab	ضمیر فاعلی|اختصارات	
1	افزود	افزود	افزود	افزود	V+O	فعل ماضی ساده+سوم شخص مفرد	
2	:	:	:	:	Si	علامت	

0	در	در|در|در|در|در	در	در|در|در|در|در	Pr|V|N1|N1|VPr	حرف اضافه|فعل امر مثبت|اسم|اسم|پیشوند فعل	
1	سال	سال	سال	سال	N1	اسم	
2	۹۵	۹۵	۹۵	۹۵	Nu	عدد رقمی	
3	نیز	نیز|آز	نیز	نیز|نی + آز	Ad|V	قید|فعل امر منفی	
4	آقای	آقا	آقا	آقا	O	_
5	اللهیاری	الله	اللهیاری	الله + یار + ی	N1+O+O	اسم + یار + ی	
6	برای	برای|برا|بر	برای	برای|برا + ی|بر + ا + ی	Pr|A0+O|O+O+O	حرف اضافه|صفت + ی|ریشه مضارع + ا + ی	
7	چند	چند	چند	چند	NA	ضمیر پرسشی	
8	روز	روز	روز	روز	N1	اسم	
9	بازداشت	بازداشت|بازداشت	بازداشت	بازداشت|بازداشت	V+O|N1	فعل ماضی ساده+سوم شخص مفرد|اسم	
10	شده بود	شد	شده بود	شد + ه + بود	V+O	فعل ماضی بعید+سوم شخص مفرد	
11	که	که|که|که|که	که	که|که|که|که	C0|NA|N1|N1	حرف ربط|ضمیر پرسشی|اسم|اسم	
12	با	با	با	با	Pr	حرف اضافه	
13	ضمانت	ضمانت|ضمان|ضم	ضمانت	ضمانت|ضمان + ت|ضم + ان + ت	N1|N1+O|N1+O+O	اسم|اسم + ضمیر ملکی دوم شخص مفرد|اسم + ان + ضمیر ملکی دوم شخص مفرد	
14	ملکی	ملکی|ملکی|ملک|ملک|ملک|مل	ملک	ملکی|ملکی|ملک + ی|ملک + ی|ملک + ی|مل + ک + ی	N4|A0|A0+O|N1+O|N1+O|N1+O+O	اسم فامیل|صفت|صفت + ی|اسم + ی|اسم + ی|اسم + ک + ی	
15	معاونش	معاون	معاون	معاون + ش	N1+O	اسم + ضمیر ملکی سوم شخص مفرد	
16	از	از	از	از	Pr	حرف اضافه	
17	زندان	زندان|زن	زندان	زندان|زن + دان	N1|N1+O	اسم|اسم + دان	
18	آزاد	آزاد	آزاد	آزاد	A0	صفت	
19	شد	شد	شد	شد	V+O	فعل ماضی ساده+سوم شخص مفرد	
