index	token	normalize
۱	استهزاء	استهزا
۲	و	و
۳	مسخره‌	مسخره‌
۴	کردن	‌کردن
۵	دیگران	دیگران
۶	موجب	موجب
۷	ایجاد	ایجاد
۸	کدورت	کدورت
۹	بین	بین
۱۰	افراد	افراد
۱۱	می شود	می‌شود
۱۲	.	.
	\n	
۱۳	تهاتر	تهاتر
۱۴	فقط	فقط
۱۵	در	در
۱۶	مورد	مورد
۱۷	دو	دو
۱۸	دِیني	دینی
۱۹	حاصل	حاصل
۲۰	می شود	می‌شود
۲۱	\n	
۲۲	که	که
۲۳	موضوع	موضوع
۲۴	یکساني	یکسانی
۲۵	داشته باشند	داشته‌باشد
۲۶	.	.
	\n	
۲۷	کاپتان	کاپتان
۲۸	کشتی	کشتی
۲۹	جنگی	جنگی
۳۰	دستور	دستور
۳۱	عقب نشینی	عقب‌نشینی
۳۲	کردن‌	کردن‌
۳۳	را	را
۳۴	صادر	صادر
۳۵	کرد	کرد
۳۶	.	.
	\n	
۳۷	هرگاه	هرگاه
۳۸	موصي	موصی
۳۹	پس	پس
۴۰	از	از
۴۱	انشاء	انشا
۴۲	وصیت نامه	وصیت‌نامه
۴۳	محجور	محجور
۴۴	شود	شود
	\n	
۴۵	وصیت	وصیت
۴۶	از	از
۴۷	بین	بین
۴۸	نمی رود	نمی‌رود
۴۹	.	.
	\n	
۵۰	توران	توران
۵۱	و	و
۵۲	ایران	ایران
۵۳	سال یان	سالیان
۵۴	دراز	دراز
۵۵	با	با
۵۶	یکدیگر	یکدیگر
۵۷	به	به
۵۸	جنگ	جنگ
۵۹	می پرداختند	می‌پرداختند
۶۰	.	.
	\n	
۶۱	زردگوش	زردگوش
۶۲	کنایه	کنایه
۶۳	از	از
۶۴	انسان	انسان
۶۵	منافق	منافق
۶۶	مفسده	مفسد
۶۷	و	و
۶۸	بیکاره	بیکار
۶۹	است	است
۷۰	.	.
	\n	
۷۱	خنبانیدن	خنبانیدن
۷۲	تقلیدکردن	تقلیدکردن
۷۳	حرکات	حرکات
۷۴	و	و
۷۵	سکنات	سکنات
۷۶	کسی	کسی
۷۷	از	از
۷۸	روی	روی
۷۹	ریشخند	ریشخند
۸۰	می باشد	می‌باشد
۸۱	.	.
	\n	
۸۲	خنده	خنده
۸۳	بر	بر
۸۴	هر	هر
۸۵	درد	درد
۸۶	بی درمان	بی‌درمان
۸۷	دواست	دواست
	\n	
۸۸	از	از
۸۹	عملکرد	عملکرد
۹۰	دانشجویان	دانشجویان
۹۱	راضی‌ام	راضی‌ام
۹۲	.	.
	\n	
۹۳	کودکان	کودکان
۹۴	بازی	بازی
۹۵	با	با
۹۶	بادبادك	بادبادک
۹۷	را	را
۹۸	خیلي	خیلی
۹۹	دوست	دوست
۱۰۰	دارند	دارند
۱۰۱	.	.
	\n	
۱۰۲	معلمین	معلمین
۱۰۳	با	با
۱۰۴	فِراست	فراست
۱۰۵	خود	خود
۱۰۶	توانستند	توانستند
۱۰۷	مشکلاة	مشکلات
۱۰۸	دانش‌آموزان	دانش‌اموزان
۱۰۹	را	را
۱۱۰	حل‌کنند	حل‌کنند
۱۱۱	.	.
	\n	
۱۱۲	نگران	نگران
۱۱۳	نباش	نباش
۱۱۴	...!؟	...!؟
	\n	
۱۱۵	بنده	بنده
۱۱۶	هم‌آن	همان
۱۱۷	به	به
۱۱۸	که	که
۱۱۹	ز	ز
۱۲۰	تقصیر	تقصیر
۱۲۱	خویش	خویش
۱۲۲	شکر	شکر
۱۲۳	به	به
۱۲۴	درگاه	درگاه
۱۲۵	خدا	خدا
۱۲۶	آورد	آورد
۱۲۷	.	.
	\n	
۱۲۸	خنده	خنده
۱۲۹	حالتی	حالتی
۱۳۰	در	در
۱۳۱	چهرۀ	چهره‌ی
۱۳۲	انسان	انسان
۱۳۳	به واسطۀ	بواسطه‌ی
۱۳۴	شعف	شعف
۱۳۵	خوشحالی	خوشحالی
۱۳۶	یا	یا
۱۳۷	تمسخر	تمسخر
۱۳۸	که	که
۱۳۹	در	در
۱۴۰	آن	آن
۱۴۱	لب‌ها	لب‌ها
۱۴۲	گشوده	گشوده
۱۴۳	می گردد	می‌گردد
۱۴۴	و	و
۱۴۵	گاه	گاه
۱۴۶	با	با
۱۴۷	صدای	صدای
۱۴۸	مخصوصي	مخصوص
۱۴۹	همراه	همراه
۱۵۰	است	است
۱۵۱	.	.
	\n	
۱۵۲	اَبَرنواختر	ابرنواختر
۱۵۳	ام-۸۹	ام۸۹
۱۵۴	یکی	یکی
۱۵۵	از	از
۱۵۶	انواع	انواع
۱۵۷	اجرام	اجرام
۱۵۸	مسیه	مسیه
۱۵۹	است	است
۱۶۰	.	.
	\n	
۱۶۱	شادروان	شادروان
۱۶۲	هرگز	هرگز
۱۶۳	چیزی	چیزی
۱۶۴	به	به
۱۶۵	عاریة	عاریه
۱۶۶	نگرفته بود	نگرفته‌بود
	\n	
۱۶۷	دخترك	دخترک
۱۶۸	کبریت	کبریت
۱۶۹	فروش	فروش
۱۷۰	از	از
۱۷۱	شدّت	شدت
۱۷۲	سرما	سرما
۱۷۳	چیزی	چیزی
۱۷۴	را	را
۱۷۵	احساس	احساس
۱۷۶	نمی‌کرد	نمی‌کرد
۱۷۷	;	;
	\n	
۱۷۸	نیست	نیست
۱۷۹	بر	بر
۱۸۰	ناله ی	ناله‌ی
۱۸۱	افسرده‌دمان	افسرده‌دمان
۱۸۲	گوش	گوش
۱۸۳	مرا	مرا
۱۸۴	بلبلی	بلبلي
۱۸۵	کو	کو
۱۸۶	که	که
۱۸۷	صفیرش	صفیرش
۱۸۸	بَرَد	برد
۱۸۹	از	از
۱۹۰	هوش	هوش
۱۹۱	مرا	مرا
	\n	
۱۹۲	واخواست	واخواست
۱۹۳	امتنا	امتنا
۱۹۴	از	از
۱۹۵	قبول	قبول
۱۹۶	یا	یا
۱۹۷	نکول	نکول
۱۹۸	اعتراضی	اعتراضی
۱۹۹	است	است
	\n	
۲۰۰	که	که
۲۰۱	بر	بر
۲۰۲	اثر	اثر
۲۰۳	خودداری	خودداری
۲۰۴	از	از
۲۰۵	نوشتن	نوشتن
۲۰۶	از	از
۲۰۷	طرف	طرف
۲۰۸	تأدیه	تادیه
۲۰۹	کننده‌ی	کننده‌ی
۲۱۰	برات	برات
۲۱۱	اتفاق	اتفاق
۲۱۲	میافتد	می‌افتد
۲۱۳	.	
	\n	
۲۱۴	فرش	فرش
۲۱۵	دستباف	دستباف
۲۱۶	طرح	طرح
۲۱۷	نامی	نامی
۲۱۸	یکی	یکی
۲۱۹	از	از
۲۲۰	طرحهاي	طرحهای
۲۲۱	معروف	معروف
۲۲۲	در	در
۲۲۳	این	این
۲۲۴	حوزه	حوزه
۲۲۵	می باشد	می‌باشد
	\n	
۲۲۶	دیوان	دیوان
۲۲۷	بین‌المللي	بین‌المللی
۲۲۸	لاهه	لاهه
۲۲۹	به	به
۲۳۰	شکایة	شکایت
۲۳۱	کشورهای	کشورهای
۲۳۲	در	در
۲۳۳	حال	حال
۲۳۴	توسعه	توسعه
۲۳۵	و	و
۲۳۶	توسعه‌یافته	توسعه‌یافته
۲۳۷	می پردازد	می‌پردازد
	\n	
۲۳۸	امواج	امواج
۲۳۹	رادیواکتیو	رادیواکتیو
۲۴۰	را	را
۲۴۱	می توان	می‌توان
۲۴۲	در	در
۲۴۳	بسیاری	بسیاری
۲۴۴	از	از
۲۴۵	مصارف	مصارف
۲۴۶	پزشکی	پزشکی
۲۴۷	استفاده‌	استفاده‌
۲۴۸	کرد	کرد
۲۴۹	.	.
	\n	
۲۵۰	آراء	آرا
۲۵۱	مأخوذة	ماخوذ
۲۵۲	تعیین‌کننده‌ی	تعیین‌کننده‌ی
۲۵۳	رجال	رجال
۲۵۴	سیاسی	سیاسی
۲۵۵	است	است
	\n	
۲۵۶	مناظر	مناظر
۲۵۷	بکر	بکر
۲۵۸	جزایر	جزایر
۲۵۹	جنوب	جنوب
۲۶۰	موضوع	موضوع
۲۶۱	تصاویر	تصاویر
۲۶۲	گرفته شده	گرفته‌شده
۲۶۳	توسط	توسط
۲۶۴	عکاسان	عکاسان
۲۶۵	حرفه ای	حرفه‌ای
۲۶۶	بود	بود
۲۶۷	.	.
	\n	
۲۶۸	ادبا	ادبا
۲۶۹	به	به
۲۷۰	نقد	نقد
۲۷۱	آثار	آثار
۲۷۲	ادبی	ادبی
۲۷۳	وی	وی
۲۷۴	پرداختند	پرداختند
	\n	
۲۷۵	ائمه‌ی	ائمه‌ی
۲۷۶	جمعه	جمعه
۲۷۷	توسط	توسط
۲۷۸	بنیانگذار	بنیانگذار
۲۷۹	جمهوری	جمهوری
۲۸۰	اسلامی	اسلامی
۲۸۱	ایران	ایران
۲۸۲	انتخاب	انتخاب
۲۸۳	‌شدند	‌شدند
۲۸۴	.	.
	\n	
۲۸۵	معابد	معابد
۲۸۶	و	و
۲۸۷	مساجد	مساجد
۲۸۸	اماکن	اماکن
۲۸۹	مقدّسی	مقدسی
۲۹۰	هستند	هستند
۲۹۱	.	.
	\n	
۲۹۲	که	که
۲۹۳	مفاهیم	مفاهیم
۲۹۴	و	و
۲۹۵	رموز	رموز
۲۹۶	معنوی	معنوی
۲۹۷	را	را
۲۹۸	به	به
۲۹۹	مردم	مردم
۳۰۰	منتقل	منتقل
۳۰۱	می‌کنند	می‌کنند
۳۰۲	.	.
	\n	
۳۰۳	حقایق	حقایق
۳۰۴	عقاید	عقاید
۳۰۵	فقهای	فقهای
۳۰۶	پیشین	پیشین
۳۰۷	بر	بر
۳۰۸	ما	ما
۳۰۹	پوشیده‌است	پوشیده‌است
۳۱۰	.	.
	\n	
۳۱۱	اسامی	اسامی
۳۱۲	اسرای	اسرای
۳۱۳	تحت	تحت
۳۱۴	امر	امر
۳۱۵	امیر	امیر
۳۱۶	اعلام‌	اعلام
۳۱۷	شدند	شدند
۳۱۸	.	.
	\n	
۳۱۹	پاکروان	پاکروان
۳۲۰	کسی	کسی
۳۲۱	است	است
	\n	
۳۲۲	که	که
۳۲۳	روان	روان
۳۲۴	پاکی	پاکی
۳۲۵	داشته‌باشد	داشته‌باشد
	\n	
۳۲۶	پرندگان	پرندگان
۳۲۷	مهاجر	مهاجر
۳۲۸	همچون	همچون
۳۲۹	آزادگان	آزادگان
۳۳۰	به	به
۳۳۱	مرغزار	مرغزار
۳۳۲	بازگشتند	بازگشتند
۳۳۳	.	.
	\n	
۳۳۴	آیا	آیا
۳۳۵	مسئولین	مسئولین
۳۳۶	می‌توانند	می‌توانند
۳۳۷	شایستگیشان	شایستگیشان
۳۳۸	را	را
۳۳۹	نشان	نشان
۳۴۰	دهند	دهند
۳۴۱	.	.
	\n	
۳۴۲	و	و
۳۴۳	مسئولیت	مسئولیت
۳۴۴	تصمیمات	تصمیمات
۳۴۵	خود	خود
۳۴۶	را	را
۳۴۷	بر	بر
۳۴۸	عهده	عهده
۳۴۹	بگیرند	بگیرند
۳۵۰	.	.
	\n	
۳۵۱	سبزیجات	سبزیجات
۳۵۲	و	و
۳۵۳	صیفیجات	صیفیجات
۳۵۴	در	در
۳۵۵	کنار	کنار
۳۵۶	نشاسته	نشاسته
۳۵۷	و	و
۳۵۸	غلات	غلات
۳۵۹	باید	باید
۳۶۰	در	در
۳۶۱	رژیم	رژیم
۳۶۲	غذایی	غذایی
۳۶۳	در	در
۳۶۴	نظر	نظر
۳۶۵	گرفته	گرفته
